# 10Be concentration (103 atom/g) in GISP2 ice, 719 - 2253 m
# 
# REFERENCES: 
# 
# Finkel, R.C., and K. Nishiizumi. 1997. Beryllium 10 concentrations in the
# Greenland Ice Sheet Project 2 ice core from 3-40 ka. Journal of Geophysical
# Research 102:26699-26706.
# 
# Alley, R.B., R.C. Finkel, K. Nishiizumi, S. Anandakrishnan, C.A. Shuman,
# G.R. Mershon, G.A. Zielinski, and P.A. Mayewski. 1995. Changes in
# continental and sea-salt atmospheric loadings in central Greenland during
# the most recent deglaciation: Model-based estimates. Journal of Glaciology
# 41:503-514.
# 
# Davis, J.C., I.D. Proctor, J.R. Southon, M.W. Caffee, D.W. Heikkinen, M.L.
# Roberts, T.L. Moore, K.W. Turteltaub, D.E. Nelson, D.H. Loyd, and J.S.
# Vogel. 1990. LLNL/UC AMS facility and research program. Nuclear Instruments
# and Methods in Physics Research B52:269-272.
# 
# DATA DESCRIPTION: 
# 
# Melted water was collected from the outside of samples taken for cation
# and anion analysis by the UNH group.  A small aliquot was taken for anion
# analysis (chloride, nitrate, and sulfate) and the remainder was weakly
# acidified with HNO3 to yield a final pH of about 2.  Be, Cl and Al
# carriers were then added.  The Be (and Al and Cl) were concentrated from
# the melted ice using ion exchange resins.  Be was then eluted from the
# cation exchange column, precipitated as Be(OH)2 and ignited to BeO for
# accelerator mass spectrometry (AMS) measurement.  The AMS measurements
# were carried out at the Lawrence Livermore National Laboratory Center for
# Accelerator Mass Spectrometry (Davis et al., 1990).  The 10Be (half-life =
# 1.5 x 10^6 years) concentration was normalized to an ICN standard (diluted
# by K. Nishiizumi) after carrier blank and boron background correction.
# 
# Depth intervals are continuous.  Missing data are denoted by '999999'. 					
# 
# DATA:					
# 
# depth top (m)	depth bottom (m)	10Be (10^3 atom/g)	+/-	age top (yr)	age bottom (yr)

719.00	722.52	16.27	0.46	3288	3308
722.52	725.87	13.43	0.46	3308	3329
725.87	729.19	16.26	0.39	3329	3348
729.19	734.20	16.40	0.41	3348	3378
734.20	737.93	20.34	0.51	3378	3399
737.93	741.65	20.21	0.72	3399	3422
746.51	750.70	17.46	0.44	3451	3477
750.70	756.01	17.24	0.38	3477	3508
756.01	759.27	15.65	0.50	3508	3527
759.27	762.53	17.36	0.45	3527	3547
762.53	766.17	15.04	0.94	3547	3569
766.17	772.22	15.19	0.63	3569	3603
772.22	777.80	16.60	0.95	3603	3638
777.80	780.24	13.00	0.94	3638	3653
780.24	785.43	13.83	0.68	3653	3684
785.43	789.40	16.17	0.40	3684	3707
789.40	793.90	14.48	0.57	3707	3734
793.90	798.09	14.84	0.65	3734	3759
798.09	803.59	15.21	0.58	3759	3791
803.59	807.89	13.48	0.75	3791	3817
808.92	812.18	12.64	0.64	3824	3844
812.18	817.61	16.19	0.64	3844	3877
817.61	821.09	13.85	0.61	3877	3899
821.09	825.33	13.02	0.61	3899	3925
825.33	828.70	16.01	0.66	3925	3946
828.70	834.89	16.55	0.62	3946	3985
834.83	839.08	16.89	0.69	3985	4011
839.08	844.77	17.79	0.69	4011	4047
844.77	851.55	15.22	0.65	4047	4091
851.55	856.05	16.98	0.68	4091	4119
856.05	861.64	16.23	1.08	4119	4155
861.64	865.73	17.29	0.44	4155	4180
865.73	870.12	17.46	0.63	4180	4207
870.12	873.86	14.53	0.63	4207	4231
873.86	877.90	14.28	0.61	4231	4257
877.90	882.65	17.28	0.40	4257	4287
882.65	887.39	14.68	0.57	4287	4316
887.39	893.55	14.89	0.62	4316	4356
893.55	898.60	14.92	0.57	4356	4388
898.60	903.62	12.85	0.66	4388	4420
903.62	908.62	18.81	0.44	4420	4452
908.62	912.53	19.98	0.74	4452	4477
912.53	919.26	14.74	0.62	4477	4521
919.26	925.24	16.80	0.55	4521	4561
925.24	930.48	15.12	0.65	4561	4594
930.48	937.78	14.55	0.56	4594	4642
937.78	943.66	16.16	0.70	4642	4680
943.66	949.50	12.23	1.62	4680	4719
949.50	957.00	15.00	0.84	4719	4768
957.00	965.08	12.89	0.69	4768	4822
965.08	971.85	17.19	0.87	4822	4866
971.85	979.86	17.85	0.74	4866	4919
979.86	984.83	15.87	0.57	4919	4951
984.83	990.43	15.50	0.58	4951	4991
990.43	994.69	17.97	0.74	4991	5020
994.69	999.91	14.60	0.45	5020	5054
999.91	1003.16	16.43	0.52	5054	5078
1003.16	1008.02	17.83	0.56	5078	5111
1008.02	1012.52	15.33	0.56	5111	5142
1012.52	1017.01	16.36	0.45	5142	5174
1017.01	1021.79	17.26	0.58	5174	5208
1021.79	1028.45	18.40	0.75	5208	5254
1028.45	1033.54	20.23	0.64	5254	5291
1033.54	1038.87	23.25	0.73	5291	5330
