# North Greenland Ice Core Project Oxygen Isotope Data
# -----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
# -----------------------------------------------------------------------
# NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: North Greenland Ice Core Project Oxygen Isotope Data
# LAST UPDATE: 10/2004 (Original receipt by WDC Paleo)
# 
# CONTRIBUTOR: Sigfús J. Johnsen, University of Copenhagen.
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-059
# 
# SUGGESTED DATA CITATION: North Greenland Ice Core Project members. 2004.
# North Greenland Ice Core Project Oxygen Isotope Data. 
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series # 2004-059.
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.
# 
# ORIGINAL REFERENCE: North Greenland Ice Core Project members. 2004.
# High-resolution record of Northern Hemisphere climate extending 
# into the last interglacial period.  
# Nature, v.431, No. 7005, pp. 147-151, 9 September 2004. 
# 
# ABSTRACT:
# Two deep ice cores from central Greenland, drilled in the 1990s, have 
# played a key role in climate reconstructions of the Northern Hemisphere, 
# but the oldest sections of the cores were disturbed in chronology owing to 
# ice folding near the bedrock. Here we present an undisturbed climate record 
# from a North Greenland ice core, which extends back to 123,000 years before 
# the present, within the last interglacial period. The oxygen isotopes in 
# the ice imply that climate was stable during the last interglacial period, 
# with temperatures 5C warmer than today. We find unexpectedly large temperature 
# differences between our new record from northern Greenland and the undisturbed 
# sections of the cores from central Greenland, suggesting that the extent of 
# ice in the Northern Hemisphere modulated the latitudinal temperature gradients 
# in Greenland. This record shows a slow decline in temperatures that marked the 
# initiation of the last glacial period. Our record reveals a hitherto unrecognized 
# warm period initiated by an abrupt climate warming about 115,000 years ago, 
# before glacial conditions were fully developed. This event does not appear 
# to have an immediate Antarctic counterpart, suggesting that the climate 
# see-saw between the hemispheres (which dominated the last glacial period) 
# was not operating at this time.
# 
# 
# GEOGRAPHIC REGION: Greenland
# PERIOD OF RECORD:  0 - 123 kyr BP
# 
# 
# DESCRIPTION: 
# High resolution Climate Record of the Northern Hemisphere back into the last 
# Interglacial Period.  North Greenland Ice-Core Project (NorthGRIP) Members.
# 
# The North Greenland Ice Core Project (NGRIP) site is located at 
# 75.10 °N and 42.32 °W, elevation of 2,917 m, ice thickness of 3,085 m.  
# The NGRIP drilling started in 1996, and bedrock was reached in July 2003.
# 
# In this text file we list the NGRIP oxygen 18 values as 50 year mean values
# using the same preliminary age scale as in Figure 2c of the accompanying paper.
# Data was measured against VSMOW at the Niels Bohr Institute for Astronomy,
# Physics and Geophysics, Department of Geophysics, University of Copenhagen.
# Accuracy of individual measurements is 0.07 permille.
# The initial isotope data series is based on 5 cm continuous sampling from
# surface to bottom of the core, or 61100 individual measurements.
# 
# Improved dating of the NGRIP core and additional data will be posted on
# our web site 
# http://www.glaciology.gfy.ku.dk/ngrip/index_eng.htm
# when it becomes available.
# 
# 
# DATA:  
# NGRIP d18O data, 50 year averages. 
# 
# Column 1:  Age, ss09sea, years before 2000 AD
# Column 2:  delta 18O, permille
# 
#     Age       d18O
      0     -35.19
     50     -35.19
     50     -34.83
    100     -34.83
    100     -35.05
    150     -35.05
    150     -35.45
    200     -35.45
    200     -35.42
    250     -35.42
    250     -35.63
    300     -35.63
    300     -35.80
    350     -35.80
    350     -35.62
    400     -35.62
    400     -35.48
    450     -35.48
    450     -35.36
    500     -35.36
    500     -35.41
    550     -35.41
    550     -35.10
    600     -35.10
    600     -35.27
    650     -35.27
    650     -35.67
    700     -35.67
    700     -35.33
    750     -35.33
    750     -35.38
    800     -35.38
    800     -35.63
    850     -35.63
    850     -35.49
    900     -35.49
    900     -35.30
    950     -35.30
    950     -35.66
  1,000     -35.66
  1,000     -35.01
  1,050     -35.01
  1,050     -35.09
  1,100     -35.09
  1,100     -35.58
  1,150     -35.58
  1,150     -35.51
  1,200     -35.51
  1,200     -35.34
  1,250     -35.34
  1,250     -35.27
  1,300     -35.27
  1,300     -35.26
  1,350     -35.26
  1,350     -35.09
  1,400     -35.09
  1,400     -35.20
  1,450     -35.20
  1,450     -35.09
  1,500     -35.09
  1,500     -35.68
  1,550     -35.68
  1,550     -35.42
  1,600     -35.42
  1,600     -34.84
  1,650     -34.84
  1,650     -35.68
  1,700     -35.68
  1,700     -35.22
  1,750     -35.22
  1,750     -35.72
  1,800     -35.72
  1,800     -35.43
  1,850     -35.43
  1,850     -35.19
  1,900     -35.19
  1,900     -34.66
  1,950     -34.66
  1,950     -35.03
  2,000     -35.03
  2,000     -35.00
  2,050     -35.00
  2,050     -35.12
  2,100     -35.12
  2,100     -35.19
  2,150     -35.19
  2,150     -35.60
  2,200     -35.60
  2,200     -35.33
  2,250     -35.33
  2,250     -34.77
  2,300     -34.77
  2,300     -34.99
  2,350     -34.99
  2,350     -35.10
  2,400     -35.10
  2,400     -34.93
  2,450     -34.93
  2,450     -35.65
  2,500     -35.65
  2,500     -35.25
  2,550     -35.25
  2,550     -35.11
  2,600     -35.11
  2,600     -35.29
  2,650     -35.29
  2,650     -35.32
  2,700     -35.32
  2,700     -35.19
  2,750     -35.19
  2,750     -34.86
  2,800     -34.86
  2,800     -34.96
  2,850     -34.96
  2,850     -35.14
  2,900     -35.14
  2,900     -35.03
  2,950     -35.03
  2,950     -34.64
  3,000     -34.64
  3,000     -34.98
  3,050     -34.98
  3,050     -35.19
  3,100     -35.19
  3,100     -34.91
  3,150     -34.91
  3,150     -35.02
  3,200     -35.02
  3,200     -35.17
  3,250     -35.17
  3,250     -35.08
  3,300     -35.08
  3,300     -35.15
  3,350     -35.15
  3,350     -34.91
  3,400     -34.91
  3,400     -34.81
  3,450     -34.81
  3,450     -35.07
  3,500     -35.07
  3,500     -35.00
  3,550     -35.00
  3,550     -34.96
  3,600     -34.96
  3,600     -35.13
  3,650     -35.13
  3,650     -34.49
  3,700     -34.49
  3,700     -34.63
  3,750     -34.63
  3,750     -35.06
  3,800     -35.06
  3,800     -35.05
  3,850     -35.05
  3,850     -35.21
  3,900     -35.21
  3,900     -35.11
  3,950     -35.11
  3,950     -35.07
  4,000     -35.07
  4,000     -34.73
  4,050     -34.73
  4,050     -35.02
  4,100     -35.02
  4,100     -35.25
  4,150     -35.25
  4,150     -34.96
  4,200     -34.96
