# EPICA Dome C Ice Cores Deuterium Data 
# -----------------------------------------------------------------------
#                World Data Center for Paleoclimatology, Boulder
#                                   and
#                      NOAA Paleoclimatology Program
# -----------------------------------------------------------------------
# NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: EPICA Dome C Ice Cores Deuterium Data 
# LAST UPDATE: 7/2004 (Original receipt by WDC Paleo)
# 
# 
# CONTRIBUTOR: Jean Jouzel, Institut Pierre Simon Laplace/
# Laboratoire des Sciences du Climat et de l'Environnement, 
# UMR CEA-CNRS 1572, CE Saclay, Orme des Merisiers, 
# 91191Gif-Sur-Yvette, France.
# 
# 
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2004-038
# 
# 
# SUGGESTED DATA CITATION: Jouzel, J., et al. 2004.
# EPICA Dome C Ice Cores Deuterium Data. 
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series # 2004-038.
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.
# 
# 
# ORIGINAL REFERENCE: EPICA community members. 2004. 
# Eight glacial cycles from an Antarctic ice core.
# Nature, Vol. 429, No 6992, pp.623-628, June 10, 2004.
# doi:10.1038/nature02599.
# 
# 
# ABSTRACT:
# The Antarctic Vostok ice core provided compelling evidence of the nature of climate, 
# and of climate feedbacks, over the past 420,000 years. Marine records suggest that 
# the amplitude of climate variability was smaller before that time, but such records 
# are often poorly resolved. Moreover, it is not possible to infer the abundance of 
# greenhouse gases in the atmosphere from marine records. Here we report the recovery 
# of a deepice core from Dome C, Antarctica, that provides a climate record for the 
# past 740,000 years. For the four most recent glacial cycles, the data agree well 
# with the record from Vostok. The earlier period, between 740,000 and 430,000 years 
# ago, was characterized by less pronounced warmth in interglacial periods in Antarctica, 
# but a higher proportion of each cycle was spent in the warm mode. The transition 
# from glacial to interglacial conditions about 430,000 years ago (Termination V) 
# resembles the transition into the present interglacial period in terms of the 
# magnitude of change in temperatures and greenhouse gases, but there are significant 
# differences in the patterns of change. The interglacial stage following Termination 
# V was exceptionally long-28,000 years compared to, for example, the 12,000 years 
# recorded so far in the present interglacial period. Given the similarities between 
# this earlier warm period and today, our results may imply that without human 
# intervention, a climate similar to the present one would extend well into the future.
# 
# 
# 
# GEOGRAPHIC REGION: Antarctica
# PERIOD OF RECORD:  0 - 741 kyr BP
# 
# 
# DESCRIPTION: 
# Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres, 
# also presented as 3 kyr averages, 0-741 kyr.
# 
# dD was determined on meltwater from 55 cm long sections. 
# The current dataset was derived using a "quick" mode 
# (each sample is measured twice instead of four times), 
# leading to a typical accuracy of 1.5‰, whereas we aim 
# for a final precision of 0.5‰ over the entire core.  
# The data here correspond to values averaged across seven 
# successive samples (depth scale) or averaged across 
# 3000 year intervals. Ages are given on timescale EDC2 
# (EPICA Community Members, Eight glacial cycles from an 
# Antarctic ice core, Nature, 429 (6992), 623-628, 2004).
# 
# Deuterium data from EPICA Dome C ice cores, 6.6-3140.5 metres.
# 
# Column 1: Mean age
# Column 2: dD, permill
# 
#  Age/mean       deltaD

70,-391.20
139,-396.49
216,-398.19
295,-398.11
375,-400.07
460,-398.49
550,-397.83
640,-394.86
730,-400.54
822,-392.33
916,-398.81
1015,-396.96
1114,-396.37
1213,-393.51
1310,-394.30
1411,-395.44
1517,-396.86
1625,-397.49
1736,-397.54
1852,-396.51
1972,-397.89
2093,-396.96
2215,-396.97
2343,-402.41
2475,-397.01
2604,-395.10
2729,-393.74
2849,-393.96
2970,-396.33
3094,-395.95
3221,-399.50
3352,-397.56
3479,-394.81
3601,-393.87
3723,-393.87
3850,-396.24
3983,-394.44
4118,-395.27
4251,-395.20
4382,-395.00
4515,-396.20
4654,-396.91
4790,-395.27
4926,-396.07
5061,-394.10
5198,-395.53
5339,-399.23
5479,-396.94
5616,-395.29
5753,-393.10
5892,-397.51
6033,-396.41
6173,-397.56
6316,-397.54
6459,-400.19
6605,-398.03
6752,-396.24
6897,-398.96
7046,-402.01
7199,-398.90
7353,-402.39
7501,-395.30
7645,-397.46
7792,-398.07
7940,-400.49
8092,-404.27
8248,-400.67
8402,-401.09
8552,-398.37
8700,-398.94
8851,-398.61
9000,-396.29
9151,-398.83
9300,-394.07
9444,-392.28
9588,-394.63
9732,-391.67
9870,-391.30
10010,-393.06
10151,-392.03
10290,-389.14
10430,-393.50
10573,-392.61
10715,-388.41
10858,-392.41
11008,-392.94
11160,-394.27
11312,-392.01
11462,-391.79
11611,-391.80
11761,-390.56
11913,-393.01
12065,-392.40
12223,-398.23
12392,-401.76
12570,-407.20
12756,-409.31
12949,-412.14
13154,-415.66
13364,-415.10
13572,-414.10
13773,-410.77
13971,-413.57
14175,-414.96
14382,-411.74
14583,-407.67
14775,-402.99
14964,-404.94
15164,-410.74
15375,-412.16
15583,-410.93
15791,-413.19
16014,-418.67
16241,-418.26
16471,-418.99
16714,-423.57
16969,-423.94
17229,-428.26
17501,-433.73
17788,-433.81
18089,-438.79
18405,-439.89
18730,-441.44
19058,-441.93
19390,-440.89
19722,-442.46
20052,-439.79
20387,-443.77
20728,-441.41
21058,-441.40
21380,-442.01
21707,-442.31
22039,-441.83
22370,-441.11
22693,-440.20
23022,-443.51
23354,-440.17
23689,-442.79
24021,-439.33
24345,-439.47
24673,-443.17
25008,-442.99
25346,-443.47
25687,-444.50
26033,-445.16
26377,-444.66
26717,-443.97
27057,-444.24
27399,-444.60
27738,-443.81
28066,-439.00
28387,-437.79
28717,-443.73
29048,-437.46
29371,-440.43
29681,-435.89
29978,-437.13
30288,-439.87
30615,-442.47
30957,-440.91
31293,-438.43
31623,-444.04
31955,-441.71
32267,-435.11
32575,-437.73
32894,-441.66
33218,-438.54
33531,-434.86
33847,-438.40
34188,-442.99
34524,-438.61
34832,-434.80
35135,-433.37
35444,-435.43
35760,-436.67
36081,-437.91
36399,-435.79
36718,-436.70
37030,-431.80
37326,-429.71
37607,-422.69
37888,-429.23
38176,-427.01
38462,-428.13
38753,-429.96
39063,-436.94
39400,-439.01
39738,-435.83
40074,-436.29
40427,-439.01
40777,-433.14
41113,-436.27
41463,-440.27
41821,-437.61
42156,-435.24
42473,-430.01
42801,-431.91
43149,-434.80
43497,-438.20
43831,-437.13
44157,-435.38
44476,-431.54
44779,-427.74
