# **********************************************************************************
# **** Annual and Seasonal Temperature Deviations.  (60S - 90N)                  ****
# **** 1881-2005                                                                 ****
# ****                                                                          ****
# **** September 2006                                                            ****
# ****                                                                          ****
# **** Source: K.M. Lugina*, P.Ya. Groisman**, K.Ya, Vinnikov***,                ****
# ****        V.V. Koknaeva****, and N.A. Speranskaya****.                      ****
# ****                                                                          ****
# ****    *Department of Geography, St. Petersburg State University,            ****
# ****     St. Petersburg, Russia.                                              ****
# ****   **UCAR Project Scientist, National Climatic Data Center,               ****
# ****     Asheville, North Carolina.                                           ****
# ****  ***Department of Atmospheric Sciences, University of Maryland,          ****
# ****     College Park, Maryland.                                              ****
# **** ****State Hydrological Institute, St. Petersburg, Russia.                ****
# ****                                                                          ****
# **********************************************************************************
# 
# Annual temperature deviation from the 25 year average of 1951-1975. In degrees Celsius.
#
# year |  ann
# ----- -----

1881  -0.31
1882  -0.27
1883  -0.31
1884  -0.60
1885  -0.40
1886  -0.40
1887  -0.52
1888  -0.20
1889  -0.08
1890  -0.36
1891  -0.41
1892  -0.39
1893  -0.42
1894  -0.37
1895  -0.26
1896  -0.15
1897  -0.06
1898  -0.35
1899  -0.21
1900   0.06
1901  -0.08
1902  -0.17
1903  -0.31
1904  -0.42
1905  -0.22
1906  -0.14
1907  -0.38
1908  -0.33
1909  -0.23
1910  -0.24
1911  -0.28
1912  -0.18
1913  -0.20
1914  -0.02
1915   0.03
1916  -0.17
1917  -0.43
1918  -0.34
1919  -0.17
1920  -0.10
1921  -0.09
1922  -0.14
1923  -0.18
1924  -0.13
1925  -0.08
1926   0.15
1927   0.03
1928   0.05
1929  -0.16
1930   0.04
1931   0.12
1932   0.07
1933  -0.14
1934   0.06
1935  -0.02
1936   0.04
1937   0.16
1938   0.13
1939   0.01
1940   0.15
1941   0.15
1942   0.16
1943   0.02
1944   0.16
1945   0.07
1946   0.05
1947   0.16
1948   0.07
1949   0.02
1950  -0.07
1951   0.07
1952   0.09
1953   0.18
1954  -0.02
1955  -0.10
1956  -0.19
1957   0.07
1958   0.17
1959   0.12
1960   0.07
1961   0.10
1962   0.08
1963   0.05
1964  -0.26
1965  -0.16
1966  -0.06
1967  -0.03
1968  -0.12
1969   0.04
1970   0.03
1971  -0.15
1972  -0.07
1973   0.20
1974  -0.09
1975  -0.02
1976  -0.16
1977   0.18
1978   0.10
1979   0.21
1980   0.27
1981   0.37
1982   0.14
1983   0.35
1984   0.08
1985   0.07
1986   0.21
1987   0.38
1988   0.40
1989   0.30
1990   0.52
1991   0.42
1992   0.16
1993   0.30
1994   0.37
1995   0.52
1996   0.34
1997   0.45
1998   0.73
1999   0.53
2000   0.42
2001   0.57
2002   0.66
2003   0.68
2004   0.65
2005   0.84

