# 11,000 Year Sunspot Number Reconstruction
# ---------------------------------------------------------------------
#                 NOAA Paleoclimatology Program
#                                and
#          World Data Center for Paleoclimatology, Boulder
# ---------------------------------------------------------------------
# NOTE: PLEASE CITE ORIGINAL REFERENCE WHEN USING THIS DATA!!!!!
# 
# 
# NAME OF DATA SET: 11,000 Year Sunspot Number Reconstruction
# 
# LAST UPDATE: 2/2005 (Original Receipt by WDC Paleo)
# CONTRIBUTOR: Sami Solanki, Max-Planck-Institut für Sonnensystemforschung
# IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2005-015
# 
# 
# SUGGESTED DATA CITATION: Solanki, S.K., et al.  2005.
# 11,000 Year Sunspot Number Reconstruction.
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series #2005-015. 
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA. 
# 
# 
# ORIGINAL REFERENCE: 
# Solanki, S.K., I.G. Usoskin, B. Kromer, M. Schüssler and J. Beer.  2004.  
# An unusually active Sun during recent decades compared to the previous 11,000 years. 
# Nature, Vol. 431, No. 7012, pp.1084-1087, 28 October 2004.
# 
# ABSTRACT:
# Direct observations of sunspot numbers are available for the past
# four centuries, but longer time series are required, for example,
# for the identification of a possible solar influence on climate and
# for testing models of the solar dynamo. Here we report a
# reconstruction of the sunspot number covering the past 11,400
# years, based on dendrochronologically dated radiocarbon concentrations.
# We combine physics-based models for each of the
# processes connecting the radiocarbon concentration with sunspot
# number. According to our reconstruction, the level of solar
# activity during the past 70 years is exceptional, and the previous
# period of equally high activity occurred more than 8,000 years
# ago. We find that during the past 11,400 years the Sun spent only
# of the order of 10% of the time at a similarly high level of
# magnetic activity and almost all of the earlier high-activity
# periods were shorter than the present episode. Although the
# rarity of the current episode of high average sunspot numbers
# may indicate that the Sun has contributed to the unusual climate
# change during the twentieth century, we point out that solar
# variability is unlikely to have been the dominant cause of the
# strong warming during the past three decades.
# 
# 
# PERIOD OF RECORD:  11 KYrBP - present
# GEOGRAPHIC REGION: Global
# 
# 
# DESCRIPTION:  
# The series of reconstructed 10-yr averaged sunspot numbers with their 68% uncertainty.
# Years are given BP (before present), i.e. the calendar AD year, Yad, is related to the 
# BP year, Ybp, as Yc=1950-Ybp.
# The tabulated years correspond to centers of the corresponding 10-year intervals.
# Negative values are artifacts and are consistent with zero within the error limits.
# 
# 
# 
# DATA:
# Column 1: Year Before Present (1950 AD)
# Column 2: Reconstructed Sunspot Number
# Column 3: Sigma error (68% uncertainty)
# 
# 
YearBP   SN     sigma
11405    37.4    20.7
11395    57.1    20.1
11385      89    32.1
11375    92.5    34.5
11365    75.2    29.9
11355    60.6    23.2
11345    43.3    20.1
11335    37.7    16.5
11325    57.1    20.3
11315    71.8    29.5
11305    51.9    21.4
11295    42.3    21.1
11285    54.8    29.6
11275      65    23.7
11265    50.3    19.5
11255    38.1    16.6
11245    36.4    16.8
11235    28.4    14.1
11225    23.4    13.1
11215      25    13.4
11205    20.3    11.2
11195    14.5    11.6
11185    12.3      12
11175     7.2    10.2
11165     3.2      10
11155     6.5    10.3
11145    12.6    11.5
11135    15.8    10.7
11125    16.2    11.4
11115    16.1    11.1
11105    16.9    10.9
11095    16.6    11.7
11085    15.3    12.1
11075    12.4    10.9
11065     8.5    10.2
11055     7.9    10.5
11045     8.9    10.5
11035      14    10.7
11025    26.7    15.7
11015    32.5    15.9
11005    25.8    15.4
10995    21.9    13.2
10985    23.9    15.8
10975    31.8    15.4
10965    43.6    17.7
10955      57    19.9
10945    81.1    25.9
10935   105.8    25.9
10925    93.8    22.4
10915    77.6    24.9
10905    70.4    23.8
10895    67.2    21.9
10885      64    19.3
10875    57.1    17.1
10865    49.2    14.7
10855    44.5    13.6
10845    45.3    15.3
10835    58.7    20.2
10825    76.2    26.8
10815    73.1    24.1
10805    64.3      21
10795    59.5    19.4
10785    54.9    17.6
10775    53.3    20.3
10765    48.6    18.8
10755      40    19.6
10745    32.8    15.2
10735    30.7    12.9
10725    38.4    16.2
10715    49.3    21.1
10705    44.3    18.4
10695    29.7    13.1
10685    23.6      12
10675    24.4    12.3
10665    34.1      14
10655    43.9    16.5
10645    32.9    13.3
10635    23.9    12.1
10625    36.7    13.4
10615    57.6    18.8
10605      59    24.8
10595    45.2    22.3
10585    35.1    13.6
10575    30.6    13.3
10565    27.4    10.4
10555    24.2    11.8
10545    27.1    13.3
10535    34.9    15.9
10525    42.2    21.7
10515    41.4    16.2
10505      32    12.5
10495    25.4      13
10485    22.7    12.1
10475    22.8      12
10465    29.7    11.3
10455    44.8    13.3
10445    57.7    16.7
10435    48.5    17.2
10425    34.6    13.1
10415    32.8    13.4
10405    30.9    13.5
10395    28.8    14.3
10385    31.8    12.6
10375      33    14.2
10365    29.6    15.2
10355    35.3    12.1
10345    49.9    17.9
10335    52.7    19.3
10325    52.8    18.5
10315      59    22.5
10305    64.3    20.6
10295    61.9    17.8
10285    50.5    16.3
10275    47.2    16.8
10265    49.5    15.3
10255    42.6    13.1
10245    26.1    12.6
10235    15.6     9.5
10225    11.5     9.1
10215     8.7    10.1
10205    10.3     9.1
10195    10.4     9.9
10185     7.5    10.7
10175     8.9    10.8
10165       9    11.3
10155     4.8     9.2
10145     5.7     9.5
10135    13.7    11.5
10125      16    13.4
10115     8.7    11.8
10105     6.6      13
10095    17.4    11.5
10085      32    17.7
10075      36    16.6
10065    37.1    14.6
10055    44.4      19
10045    42.5    16.4
10035    33.2    14.9
10025    33.8    14.5
10015      37    14.1
10005    42.9    14.9
 9995    61.3    21.2
 9985    67.8    20.8
 9975    53.7    23.6
 9965    45.9    22.3
 9955      46    17.8
 9945    50.6    19.9
 9935    51.3    17.7
 9925      37    14.7
 9915    23.6    11.6
 9905    22.3    11.8
 9895      23    11.7
 9885    26.2    11.9
 9875    28.8    10.9
 9865      27      15
 9855    36.8    14.1
 9845    50.1    14.4
 9835    46.3    16.8
 9825    39.7    17.4
 9815    47.4    14.9
 9805    58.9    21.1
 9795    53.9    15.8
 9785    44.5      17
 9775      42    21.3
 9765    44.4    18.1
 9755    47.3    18.1
 9745      49    18.7
 9735    50.9    23.2
 9725    52.1    20.5
 9715    48.2    19.5
 9705    39.9    15.6
 9695    34.4    13.6
 9685    33.8    15.1
 9675    35.9    16.1
 9665    39.8    17.3
 9655    48.7      17
 9645    57.3    19.6
 9635    51.7    18.4
 9625    48.1    18.7
 9615    51.9    16.6
 9605    48.7    14.8
 9595    48.9    16.7
 9585    57.2    18.7
 9575      61    14.6
 9565    49.3    14.3
 9555    27.8    13.3
 9545    13.2    16.3
 9535     5.5    17.2
 9525     4.5     9.9
 9515    12.8    11.8
 9505    17.7    14.8
 9495    12.8    15.9
